TYPE,L1,LOCATION,SERVICE_TIME,SEAT,IS_HARBOR,Q_AUTO,Q_NON_AUTO,STOP_LOCATION,IS_BUS,Average speed
广州路平峰,location1,DJI0019,23.94,1,0,128,148,-1,0,6.41 
广州路高峰,location2,DJI005,31.169,1,0,130,278,-1,0,4.52 
广州路高峰,location3,DJI006,21.819,1,0,140,265,-1,0,7.45 
广州路高峰,location4,DJI002,25.9,1,0,110,245,-1,0,5.79 
广州路平峰,location5,DJI020,32.25,1,0,140,190,-1,0,7.95 
西安门平峰,location6,DJI010,18.23,3,0,193,173,-1,0,5.89 
西安门平峰,location7,DJI012,15.892,3,0,225,228,-1,0,1.93 
西安门高峰,location8,DJI006,9.947,3,0,150,243,-1,0,5.64 
西安门高峰,location9,DJI007,13.864,3,0,295,215,-1,0,3.81 
西安门高峰,location10,DJI008,12.556,3,0,103,103,-1,0,5.94 
商城高峰,location11,DJI1,9.828,2,0,160,93,0,0,11.37 
商城高峰,location12,DJI2,11.75,2,0,135,128,0,0,10.76 
商城高峰,location13,DJI3,12.8,2,0,183,118,0,0,9.20 
内桥平峰,location14,DJI22,11.89,1,0,185,133,-1,0,8.71 
内桥高峰,location15,DJI0003,10.72,1,0,230,130,-1,0,5.79 
广州路平峰,location16,DJI018,31.922,1,0,104,172,-1,1,3.13 
西安门平峰,location17,DJI011,12.975,3,0,233,206,-1,1,2.10 
内桥平峰,location18,DJI21,11.613,1,0,168,205,-1,1,3.12 
广州路平峰,location19,DJI018,31.922,1,0,148,163,-1,0,7.16 
西安门平峰,location20,DJI011,12.975,3,0,205,115,-1,0,4.16 
内桥平峰,location21,DJI21,11.613,1,0,145,145,-1,0,6.44 
