TYPE,L1,LOCATION,SEAT,Q_AUTO,Q_NON_AUTO,STOP_LOCATION,IS_BUS,IS_HARBOR
广州路平峰,location1,DJI0019,1,0.213333333,2.466666667,1,0,1
广州路高峰,location2,DJI005,1,0.216666667,4.633333333,1,0,2
广州路高峰,location3,DJI006,1,0.233333333,4.416666667,1,0,1
广州路高峰,location4,DJI002,1,0.183333333,4.083333333,1,0,1
广州路平峰,location5,DJI020,1,0.233333333,3.166666667,1,0,2
西安门平峰,location6,DJI010,3,0.321666667,2.883333333,1,0,1
西安门平峰,location7,DJI012,3,0.375,3.8,1,0,1
西安门高峰,location8,DJI006,3,0.25,4.05,1,0,2
西安门高峰,location9,DJI007,3,0.491666667,3.583333333,1,0,1
西安门高峰,location10,DJI008,3,0.171666667,1.716666667,1,0,1
商城高峰,location11,DJI1,2,0.266666667,1.55,2,0,1
商城高峰,location12,DJI2,2,0.225,2.133333333,2,0,1
商城高峰,location13,DJI3,2,0.305,1.966666667,2,0,1
内桥平峰,location14,DJI22,1,0.308333333,2.216666667,1,0,1
内桥高峰,location15,DJI0003,1,0.383333333,2.166666667,1,0,1
广州路平峰,location16,DJI018,1,0.173333333,2.866666667,1,1,1
西安门平峰,location17,DJI011,3,0.388333333,3.433333333,1,1,1
内桥平峰,location18,DJI21,1,0.28,3.416666667,1,1,1
