TYPE,L1,LOCATION,SEAT,Q_AUTO,Q_NON_AUTO,STOP_LOCATION,IS_BUS,IS_HARBOR
广州路平峰,location1,DJI0019,1,128,148,-1,0,1
广州路高峰,location2,DJI005,1,130,278,-1,0,0
广州路高峰,location3,DJI006,1,140,265,-1,0,1
广州路高峰,location4,DJI002,1,110,245,-1,0,0
广州路平峰,location5,DJI020,1,140,190,-1,0,1
西安门平峰,location6,DJI010,3,193,173,-1,0,0
西安门平峰,location7,DJI012,3,225,228,-1,0,0
西安门高峰,location8,DJI006,3,150,243,-1,0,0
西安门高峰,location9,DJI007,3,295,215,-1,0,0
西安门高峰,location10,DJI008,3,103,103,-1,0,0
商城高峰,location11,DJI1,2,160,93,0,0,0
商城高峰,location12,DJI2,2,135,128,0,0,0
商城高峰,location13,DJI3,2,183,118,0,0,0
内桥平峰,location14,DJI22,1,185,133,-1,0,0
内桥高峰,location15,DJI0003,1,230,130,-1,0,0
广州路平峰,location16,DJI018,1,104,172,-1,1,0
西安门平峰,location17,DJI011,3,233,206,-1,1,0
内桥平峰,location18,DJI21,1,168,205,-1,1,0
